affectiones | line 87 | [1] "Affectiones"
free | line 99 | VII.  That thing is called free, which exists solely by the
necessary | line 102 | necessary, or rather constrained, which is determined by
eternity | line 106 | VIII.  By eternity, I mean existence itself, in so far as it is
good | line 608 | substance must be finite, they will in good sooth be acting like
love | line 1122 | infinite, as will, desire, love, &c., should be referred to
bad | line 1295 | called perfect or imperfect, good or bad, depends solely on the
satisfaction | line 1418 | of nature for the satisfaction of his blind cupidity and
pleasure | line 1574 | enough to believe, that even God himself takes pleasure in
fear | line 1903 | this question, I shall, I fear, not be able to give him any,
interest | line 2935 | which they are founded, and other points of interest connected
envy | line 3560 | us to hate no man, neither to despise, to deride, to envy, or to
anger | line 3631 | hatred, anger, envy, and so on, considered in themselves, follow
hatred | line 3631 | hatred, anger, envy, and so on, considered in themselves, follow
pain | line 4027 | of transition explain to us the emotions of pleasure and pain.
confidence | line 4258 | meant by the terms Hope, Fear, Confidence, Despair, Joy, and
despair | line 4258 | meant by the terms Hope, Fear, Confidence, Despair, Joy, and
hope | line 4258 | meant by the terms Hope, Fear, Confidence, Despair, Joy, and
joy | line 4258 | meant by the terms Hope, Fear, Confidence, Despair, Joy, and
disappointment | line 4259 | Disappointment.[5]  Hope is nothing else but an inconstant
pride | line 4426 | called pride, in reference to the man who thinks too highly of
shame | line 4570 | Honour, and the emotion contrary thereto we will style Shame: I
annoyance | line 4581 | when in reality he may be an annoyance to all.
jealousy | line 4711 | is called Jealousy, which accordingly is nothing else but a
humility | line 5271 | is called humility; the pleasure, which springs from the
courage | line 5482 | courage (animositas) and highmindedness (generositas).  By
grief | line 5592 | merriment, stimulation, melancholy, and grief, because these
contentment | line 5653 | wish I mean the contentment, which is in the lover, on account of
sorrow | line 6686 | when he says, "He who increaseth knowledge increaseth sorrow."  I
trust | line 7286 | other mutually secure, and feel mutual trust, is evident from IV.
peace | line 7642 | that, when the sovereign power for the sake of preserving peace
